Страна ; Заболели ; Умерли ; Вылечились ; Активные  случаи
США ; 48229210  ; 776639  ; 0 ; 0
Индия ; 34580832  ; 468790  ; 0 ; 34112042
Бразилия ; 22080906  ; 614278  ; 0 ; 21466628
Великобритания ; 10164245  ; 144878  ; 0 ; 0
Россия ; 9604233  ; 273964  ; 8295811  ; 1034458
Турция ; 8748025  ; 76446  ; 0 ; 8671579
Франция ; 7454638  ; 116665  ; 0 ; 0
Иран ; 6108882  ; 129629  ; 0 ; 5979253
Германия ; 5804139  ; 100960  ; 0 ; 5703179
Аргентина ; 5326448  ; 116529  ; 0 ; 5209919
Испания ; 5131012 ; 87955 ; 0 ; 0
Колумбия ; 5065373  ; 128437  ; 0 ; 4936936
Италия ; 5007818  ; 133674  ; 0 ; 4874144
Индонезия ; 4255936  ; 143808  ; 0 ; 4112128
Мексика ; 3882792  ; 293859  ; 0 ; 3588933
Украина ; 3588916  ; 90345  ; 0 ; 3498571
Польша ; 3507828  ; 83037  ; 0 ; 3424791
ЮАР ; 2961406  ; 89797  ; 0 ; 2871609
Филиппины ; 2831807  ; 48361  ; 0 ; 2783446
Малайзия ; 2623816  ; 30309  ; 0 ; 2593507
Нидерланды ; 2602468  ; 19339  ; 0 ; 0
Перу ; 2234075  ; 201108  ; 0 ; 2032967
Чехия ; 2132380  ; 32929  ; 0 ; 2099451
Таиланд ; 2106813  ; 20707  ; 0 ; 2086106
Ирак ; 2079622  ; 23793  ; 0 ; 2055829
Канада ; 1794286  ; 29686  ; 0 ; 1764600
Румыния ; 1776949  ; 56275  ; 0 ; 1720674
Чили ; 1759405  ; 38313  ; 0 ; 1721092
Япония ; 1726479  ; 18354 ; 0 ; 1708125
Бельгия ; 1701633 ; 26840 ; 0 ; 0
Бангладеш ; 1575784  ; 27978  ; 0 ; 1547806
Израиль ; 1342210  ; 8189  ; 0 ; 1334021
Пакистан ; 1284365  ; 28718  ; 0 ; 1255647
Сербия ; 1250393  ; 11588  ; 0 ; 0
Вьетнам ; 1210340  ; 24882  ; 0 ; 1185458
Швеция ; 1198848 ; 15145 ; 0 ; 0
Словакия ; 1152125  ; 14274  ; 0 ; 1137851
Австрия ; 1143283  ; 12388  ; 0 ; 1130895
Португалия ; 1142707  ; 18417  ; 0 ; 1124290
Венгрия ; 1068888 ; 33866 ; 0 ; 1035022
Казахстан ; 1053427  ; 17765 ; 0 ; 1035662
Швейцария ; 986834 ; 11471  ; 0 ; 975363
Куба ; 962220  ; 8300 ; 0 ; 953920
Марокко ; 949732  ; 14774 ; 0 ; 934958
Иордания ; 943305  ; 11551  ; 0 ; 931754
Греция ; 924506  ; 17959  ; 0 ; 906547
Грузия ; 838639  ; 11927  ; 0 ; 826712
Непал ; 820878  ; 11523  ; 0 ; 809355
ОАЭ ; 741918  ; 2146  ; 0 ; 739772
Тунис ; 717258  ; 25363 ; 0 ; 691895
Болгария ; 689356  ; 28101  ; 0 ; 661255
Ливан ; 668087  ; 8709  ; 0 ; 659378
Белоруссия ; 651839  ; 5054  ; 0 ; 646785
Гватемала ; 617610  ; 15928  ; 0 ; 601682
Хорватия ; 603316  ; 10759  ; 0 ; 592557
Азербайджан ; 585783  ; 7807  ; 0 ; 577976
Коста-Рика ; 566560 ; 7287 ; 0 ; 559273
Шри-Ланка ; 562520  ; 14305  ; 0 ; 548215
Ирландия ; 560054  ; 5652 ; 0 ; 554402
Саудовская Аравия ; 549695  ; 8833  ; 0 ; 540862
Боливия ; 536472  ; 19161  ; 0 ; 517311
Эквадор ; 524432 ; 33128 ; 0 ; 491304
Мьянма  ; 521561  ; 19088  ; 0 ; 502473
Дания ; 478927  ; 2872  ; 0 ; 476055
Панама ; 477306 ; 7361 ; 0 ; 469945
Литва ; 467900  ; 6692  ; 0 ; 461208
Парагвай ; 462605 ; 16367 ; 0 ; 446238
Палестинские территории ; 459479 ; 4789 ; 0 ; 454690
Южная Корея ; 444200  ; 3580  ; 0 ; 440620
Венесуэла ; 430696  ; 5138  ; 0 ; 425558
Словения ; 417376  ; 5188  ; 0 ; 412188
Кувейт ; 413266 ; 2465 ; 0 ; 410801
Доминиканская Республика ; 406803  ; 4204 ; 0 ; 402599
Уругвай ; 399348  ; 6129  ; 0 ; 393219
Монголия ; 380945 ; 1990 ; 0 ; 378955
Гондурас ; 377859 ; 10402 ; 0 ; 367457
Ливия ; 371571  ; 5438  ; 0 ; 366133
Эфиопия ; 371262  ; 6740  ; 0 ; 364522
Молдова ; 362433  ; 9069  ; 0 ; 353364
Египет ; 356718  ; 20347  ; 0 ; 336371
Армения ; 337931  ; 7514  ; 0 ; 330417
Оман ; 304519 ; 4113 ; 0 ; 300406
Бахрейн ; 277585  ; 1394 ; 0 ; 276191
Босния и Герцеговина ; 272798 ; 12456 ; 0 ; 260342
Сингапур ; 262383  ; 701  ; 0 ; 261682
Норвегия ; 260921  ; 1050 ; 0 ; 259871
